Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita)
2015,Switzerland,Western Europe,1,7.587,1.39651
2015,Iceland,Western Europe,2,7.561,1.30232
2015,Denmark,Western Europe,3,7.527,1.32548
2015,Norway,Western Europe,4,7.522,1.459
2015,Canada,North America,5,7.427,1.32629
2015,Finland,Western Europe,6,7.406,1.29025
2015,Netherlands,Western Europe,7,7.378,1.32944
2015,Sweden,Western Europe,8,7.364,1.33171
2015,New Zealand,Australia and New Zealand,9,7.286,1.25018
2015,Australia,Australia and New Zealand,10,7.284,1.33358
2015,Israel,Middle East and Northern Africa,11,7.278,1.22857
2015,Costa Rica,Latin America and Caribbean,12,7.226,0.95578
2015,Austria,Western Europe,13,7.2,1.33723
2015,Mexico,Latin America and Caribbean,14,7.187,1.02054
2015,United States,North America,15,7.119,1.39451
2015,Brazil,Latin America and Caribbean,16,6.983,0.98124
2015,Luxembourg,Western Europe,17,6.946,1.56391
2015,Ireland,Western Europe,18,6.94,1.33596
2015,Belgium,Western Europe,19,6.937,1.30782
2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727
2015,United Kingdom,Western Europe,21,6.867,1.26637
2015,Oman,Middle East and Northern Africa,22,6.853,1.36011
2015,Venezuela,Latin America and Caribbean,23,6.81,1.04424
2015,Singapore,Southeastern Asia,24,6.798,1.52186
2015,Panama,Latin America and Caribbean,25,6.786,1.06353
2015,Germany,Western Europe,26,6.75,1.32792
2015,Chile,Latin America and Caribbean,27,6.67,1.10715
2015,Qatar,Middle East and Northern Africa,28,6.611,1.69042
2015,France,Western Europe,29,6.575,1.27778
2015,Argentina,Latin America and Caribbean,30,6.574,1.05351
2015,Czech Republic,Central and Eastern Europe,31,6.505,1.17898
2015,Uruguay,Latin America and Caribbean,32,6.485,1.06166
2015,Colombia,Latin America and Caribbean,33,6.477,0.91861
2015,Thailand,Southeastern Asia,34,6.455,0.9669
2015,Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541
2015,Spain,Western Europe,36,6.329,1.23011
2015,Malta,Western Europe,37,6.302,1.2074
2015,Taiwan,Eastern Asia,38,6.298,1.29098
2015,Kuwait,Middle East and Northern Africa,39,6.295,1.55422
2015,Suriname,Latin America and Caribbean,40,6.269,0.99534
2015,Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.21183
2015,El Salvador,Latin America and Caribbean,42,6.13,0.76454
2015,Guatemala,Latin America and Caribbean,43,6.123,0.74553
2015,Uzbekistan,Central and Eastern Europe,44,6.003,0.63244
2015,Slovakia,Central and Eastern Europe,45,5.995,1.16891
2015,Japan,Eastern Asia,46,5.987,1.27074
2015,South Korea,Eastern Asia,47,5.984,1.24461
2015,Ecuador,Latin America and Caribbean,48,5.975,0.86402
2015,Bahrain,Middle East and Northern Africa,49,5.96,1.32376
2015,Italy,Western Europe,50,5.948,1.25114
2015,Bolivia,Latin America and Caribbean,51,5.89,0.68133
2015,Moldova,Central and Eastern Europe,52,5.889,0.59448
2015,Paraguay,Latin America and Caribbean,53,5.878,0.75985
2015,Kazakhstan,Central and Eastern Europe,54,5.855,1.12254
2015,Slovenia,Central and Eastern Europe,55,5.848,1.18498
2015,Lithuania,Central and Eastern Europe,56,5.833,1.14723
2015,Nicaragua,Latin America and Caribbean,57,5.828,0.59325
2015,Peru,Latin America and Caribbean,58,5.824,0.90019
2015,Belarus,Central and Eastern Europe,59,5.813,1.03192
2015,Poland,Central and Eastern Europe,60,5.791,1.12555
2015,Malaysia,Southeastern Asia,61,5.77,1.12486
2015,Croatia,Central and Eastern Europe,62,5.759,1.08254
2015,Libya,Middle East and Northern Africa,63,5.754,1.13145
2015,Russia,Central and Eastern Europe,64,5.716,1.13764
2015,Jamaica,Latin America and Caribbean,65,5.709,0.81038
2015,North Cyprus,Western Europe,66,5.695,1.20806
2015,Cyprus,Western Europe,67,5.689,1.20813
2015,Algeria,Middle East and Northern Africa,68,5.605,0.93929
2015,Kosovo,Central and Eastern Europe,69,5.589,0.80148
2015,Turkmenistan,Central and Eastern Europe,70,5.548,0.95847
2015,Mauritius,Sub-Saharan Africa,71,5.477,1.00761
2015,Hong Kong,Eastern Asia,72,5.474,1.38604
2015,Estonia,Central and Eastern Europe,73,5.429,1.15174
2015,Indonesia,Southeastern Asia,74,5.399,0.82827
2015,Vietnam,Southeastern Asia,75,5.36,0.63216
2015,Turkey,Middle East and Northern Africa,76,5.332,1.06098
2015,Kyrgyzstan,Central and Eastern Europe,77,5.286,0.47428
2015,Nigeria,Sub-Saharan Africa,78,5.268,0.65435
2015,Bhutan,Southern Asia,79,5.253,0.77042
2015,Azerbaijan,Central and Eastern Europe,80,5.212,1.02389
2015,Pakistan,Southern Asia,81,5.194,0.59543
2015,Jordan,Middle East and Northern Africa,82,5.192,0.90198
2015,Montenegro,Central and Eastern Europe,82,5.192,0.97438
2015,China,Eastern Asia,84,5.14,0.89012
2015,Zambia,Sub-Saharan Africa,85,5.129,0.47038
2015,Romania,Central and Eastern Europe,86,5.124,1.04345
2015,Serbia,Central and Eastern Europe,87,5.123,0.92053
2015,Portugal,Western Europe,88,5.102,1.15991
2015,Latvia,Central and Eastern Europe,89,5.098,1.11312
2015,Philippines,Southeastern Asia,90,5.073,0.70532
2015,Somaliland region,Sub-Saharan Africa,91,5.057,0.18847
2015,Morocco,Middle East and Northern Africa,92,5.013,0.73479
2015,Macedonia,Central and Eastern Europe,93,5.007,0.91851
2015,Mozambique,Sub-Saharan Africa,94,4.971,0.08308
2015,Albania,Central and Eastern Europe,95,4.959,0.87867
2015,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223
2015,Lesotho,Sub-Saharan Africa,97,4.898,0.37545
2015,Dominican Republic,Latin America and Caribbean,98,4.885,0.89537
2015,Laos,Southeastern Asia,99,4.876,0.59066
2015,Mongolia,Eastern Asia,100,4.874,0.82819
2015,Swaziland,Sub-Saharan Africa,101,4.867,0.71206
2015,Greece,Western Europe,102,4.857,1.15406
2015,Lebanon,Middle East and Northern Africa,103,4.839,1.02564
2015,Hungary,Central and Eastern Europe,104,4.8,1.12094
2015,Honduras,Latin America and Caribbean,105,4.788,0.59532
2015,Tajikistan,Central and Eastern Europe,106,4.786,0.39047
2015,Tunisia,Middle East and Northern Africa,107,4.739,0.88113
2015,Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867
2015,Bangladesh,Southern Asia,109,4.694,0.39753
2015,Iran,Middle East and Northern Africa,110,4.686,1.0088
2015,Ukraine,Central and Eastern Europe,111,4.681,0.79907
2015,Iraq,Middle East and Northern Africa,112,4.677,0.98549
2015,South Africa,Sub-Saharan Africa,113,4.642,0.92049
2015,Ghana,Sub-Saharan Africa,114,4.633,0.54558
2015,Zimbabwe,Sub-Saharan Africa,115,4.61,0.271
2015,Liberia,Sub-Saharan Africa,116,4.571,0.0712
2015,India,Southern Asia,117,4.565,0.64499
2015,Sudan,Sub-Saharan Africa,118,4.55,0.52107
2015,Haiti,Latin America and Caribbean,119,4.518,0.26673
2015,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0
2015,Nepal,Southern Asia,121,4.514,0.35997
2015,Ethiopia,Sub-Saharan Africa,122,4.512,0.19073
2015,Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024
2015,Mauritania,Sub-Saharan Africa,124,4.436,0.45407
2015,Kenya,Sub-Saharan Africa,125,4.419,0.36471
2015,Djibouti,Sub-Saharan Africa,126,4.369,0.44025
2015,Armenia,Central and Eastern Europe,127,4.35,0.76821
2015,Botswana,Sub-Saharan Africa,128,4.332,0.99355
2015,Myanmar,Southeastern Asia,129,4.307,0.27108
2015,Georgia,Central and Eastern Europe,130,4.297,0.7419
2015,Malawi,Sub-Saharan Africa,131,4.292,0.01604
2015,Sri Lanka,Southern Asia,132,4.271,0.83524
2015,Cameroon,Sub-Saharan Africa,133,4.252,0.4225
2015,Bulgaria,Central and Eastern Europe,134,4.218,1.01216
2015,Egypt,Middle East and Northern Africa,135,4.194,0.8818
2015,Yemen,Middle East and Northern Africa,136,4.077,0.54649
2015,Angola,Sub-Saharan Africa,137,4.033,0.75778
2015,Mali,Sub-Saharan Africa,138,3.995,0.26074
2015,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.67866
2015,Comoros,Sub-Saharan Africa,140,3.956,0.23906
2015,Uganda,Sub-Saharan Africa,141,3.931,0.21102
2015,Senegal,Sub-Saharan Africa,142,3.904,0.36498
2015,Gabon,Sub-Saharan Africa,143,3.896,1.06024
2015,Niger,Sub-Saharan Africa,144,3.845,0.0694
2015,Cambodia,Southeastern Asia,145,3.819,0.46038
2015,Tanzania,Sub-Saharan Africa,146,3.781,0.2852
2015,Madagascar,Sub-Saharan Africa,147,3.681,0.20824
2015,Central African Republic,Sub-Saharan Africa,148,3.678,0.0785
2015,Chad,Sub-Saharan Africa,149,3.667,0.34193
2015,Guinea,Sub-Saharan Africa,150,3.656,0.17417
2015,Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534
2015,Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812
2015,Afghanistan,Southern Asia,153,3.575,0.31982
2015,Rwanda,Sub-Saharan Africa,154,3.465,0.22208
2015,Benin,Sub-Saharan Africa,155,3.34,0.28665
2015,Syria,Middle East and Northern Africa,156,3.006,0.6632
2015,Burundi,Sub-Saharan Africa,157,2.905,0.0153
2015,Togo,Sub-Saharan Africa,158,2.839,0.20868
2016,Denmark,Western Europe,1,7.526,1.44178
2016,Switzerland,Western Europe,2,7.509,1.52733
2016,Iceland,Western Europe,3,7.501,1.42666
2016,Norway,Western Europe,4,7.498,1.57744
2016,Finland,Western Europe,5,7.413,1.40598
2016,Canada,North America,6,7.404,1.44015
2016,Netherlands,Western Europe,7,7.339,1.46468
2016,New Zealand,Australia and New Zealand,8,7.334,1.36066
2016,Australia,Australia and New Zealand,9,7.313,1.44443
2016,Sweden,Western Europe,10,7.291,1.45181
2016,Israel,Middle East and Northern Africa,11,7.267,1.33766
2016,Austria,Western Europe,12,7.119,1.45038
2016,United States,North America,13,7.104,1.50796
2016,Costa Rica,Latin America and Caribbean,14,7.087,1.06879
2016,Puerto Rico,Latin America and Caribbean,15,7.039,1.35943
2016,Germany,Western Europe,16,6.994,1.44787
2016,Brazil,Latin America and Caribbean,17,6.952,1.08754
2016,Belgium,Western Europe,18,6.929,1.42539
2016,Ireland,Western Europe,19,6.907,1.48341
2016,Luxembourg,Western Europe,20,6.871,1.69752
2016,Mexico,Latin America and Caribbean,21,6.778,1.11508
2016,Singapore,Southeastern Asia,22,6.739,1.64555
2016,United Kingdom,Western Europe,23,6.725,1.40283
2016,Chile,Latin America and Caribbean,24,6.705,1.2167
2016,Panama,Latin America and Caribbean,25,6.701,1.18306
2016,Argentina,Latin America and Caribbean,26,6.65,1.15137
2016,Czech Republic,Central and Eastern Europe,27,6.596,1.30915
2016,United Arab Emirates,Middle East and Northern Africa,28,6.573,1.57352
2016,Uruguay,Latin America and Caribbean,29,6.545,1.18157
2016,Malta,Western Europe,30,6.488,1.30782
2016,Colombia,Latin America and Caribbean,31,6.481,1.03032
2016,France,Western Europe,32,6.478,1.39488
2016,Thailand,Southeastern Asia,33,6.474,1.0893
2016,Saudi Arabia,Middle East and Northern Africa,34,6.379,1.48953
2016,Taiwan,Eastern Asia,34,6.379,1.39729
2016,Qatar,Middle East and Northern Africa,36,6.375,1.82427
2016,Spain,Western Europe,37,6.361,1.34253
2016,Algeria,Middle East and Northern Africa,38,6.355,1.05266
2016,Guatemala,Latin America and Caribbean,39,6.324,0.83454
2016,Suriname,Latin America and Caribbean,40,6.269,1.09686
2016,Kuwait,Middle East and Northern Africa,41,6.239,1.61714
2016,Bahrain,Middle East and Northern Africa,42,6.218,1.44024
2016,Trinidad and Tobago,Latin America and Caribbean,43,6.168,1.32572
2016,Venezuela,Latin America and Caribbean,44,6.084,1.13367
2016,Slovakia,Central and Eastern Europe,45,6.078,1.27973
2016,El Salvador,Latin America and Caribbean,46,6.068,0.8737
2016,Malaysia,Southeastern Asia,47,6.005,1.25142
2016,Nicaragua,Latin America and Caribbean,48,5.992,0.69384
2016,Uzbekistan,Central and Eastern Europe,49,5.987,0.73591
2016,Italy,Western Europe,50,5.977,1.35495
2016,Ecuador,Latin America and Caribbean,51,5.976,0.97306
2016,Belize,Latin America and Caribbean,52,5.956,0.87616
2016,Japan,Eastern Asia,53,5.921,1.38007
2016,Kazakhstan,Central and Eastern Europe,54,5.919,1.22943
2016,Moldova,Central and Eastern Europe,55,5.897,0.69177
2016,Russia,Central and Eastern Europe,56,5.856,1.23228
2016,Poland,Central and Eastern Europe,57,5.835,1.24585
2016,South Korea,Eastern Asia,57,5.835,1.35948
2016,Bolivia,Latin America and Caribbean,59,5.822,0.79422
2016,Lithuania,Central and Eastern Europe,60,5.813,1.2692
2016,Belarus,Central and Eastern Europe,61,5.802,1.13062
2016,North Cyprus,Western Europe,62,5.771,1.31141
2016,Slovenia,Central and Eastern Europe,63,5.768,1.29947
2016,Peru,Latin America and Caribbean,64,5.743,0.99602
2016,Turkmenistan,Central and Eastern Europe,65,5.658,1.08017
2016,Mauritius,Sub-Saharan Africa,66,5.648,1.14372
2016,Libya,Middle East and Northern Africa,67,5.615,1.06688
2016,Latvia,Central and Eastern Europe,68,5.56,1.21788
2016,Cyprus,Western Europe,69,5.546,1.31857
2016,Paraguay,Latin America and Caribbean,70,5.538,0.89373
2016,Romania,Central and Eastern Europe,71,5.528,1.1697
2016,Estonia,Central and Eastern Europe,72,5.517,1.27964
2016,Jamaica,Latin America and Caribbean,73,5.51,0.89333
2016,Croatia,Central and Eastern Europe,74,5.488,1.18649
2016,Hong Kong,Eastern Asia,75,5.458,1.5107
2016,Somalia,Sub-Saharan Africa,76,5.44,0.0
2016,Kosovo,Central and Eastern Europe,77,5.401,0.90145
2016,Turkey,Middle East and Northern Africa,78,5.389,1.16492
2016,Indonesia,Southeastern Asia,79,5.314,0.95104
2016,Jordan,Middle East and Northern Africa,80,5.303,0.99673
2016,Azerbaijan,Central and Eastern Europe,81,5.291,1.12373
2016,Philippines,Southeastern Asia,82,5.279,0.81217
2016,China,Eastern Asia,83,5.245,1.0278
2016,Bhutan,Southern Asia,84,5.196,0.8527
2016,Kyrgyzstan,Central and Eastern Europe,85,5.185,0.56044
2016,Serbia,Central and Eastern Europe,86,5.177,1.03437
2016,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.93383
2016,Montenegro,Central and Eastern Europe,88,5.161,1.07838
2016,Dominican Republic,Latin America and Caribbean,89,5.155,1.02787
2016,Morocco,Middle East and Northern Africa,90,5.151,0.84058
2016,Hungary,Central and Eastern Europe,91,5.145,1.24142
2016,Pakistan,Southern Asia,92,5.132,0.68816
2016,Lebanon,Middle East and Northern Africa,93,5.129,1.12268
2016,Portugal,Western Europe,94,5.123,1.27607
2016,Macedonia,Central and Eastern Europe,95,5.121,1.0193
2016,Vietnam,Southeastern Asia,96,5.061,0.74037
2016,Somaliland Region,Sub-Saharan Africa,97,5.057,0.25558
2016,Tunisia,Middle East and Northern Africa,98,5.045,0.97724
2016,Greece,Western Europe,99,5.033,1.24886
2016,Tajikistan,Central and Eastern Europe,100,4.996,0.48835
2016,Mongolia,Eastern Asia,101,4.907,0.98853
2016,Laos,Southeastern Asia,102,4.876,0.68042
2016,Nigeria,Sub-Saharan Africa,103,4.875,0.75216
2016,Honduras,Latin America and Caribbean,104,4.871,0.69429
2016,Iran,Middle East and Northern Africa,105,4.813,1.11758
2016,Zambia,Sub-Saharan Africa,106,4.795,0.61202
2016,Nepal,Southern Asia,107,4.793,0.44626
2016,Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67024
2016,Albania,Central and Eastern Europe,109,4.655,0.9553
2016,Bangladesh,Southern Asia,110,4.643,0.54177
2016,Sierra Leone,Sub-Saharan Africa,111,4.635,0.36485
2016,Iraq,Middle East and Northern Africa,112,4.575,1.07474
2016,Namibia,Sub-Saharan Africa,113,4.574,0.93287
2016,Cameroon,Sub-Saharan Africa,114,4.513,0.52497
2016,Ethiopia,Sub-Saharan Africa,115,4.508,0.29283
2016,South Africa,Sub-Saharan Africa,116,4.459,1.02416
2016,Sri Lanka,Southern Asia,117,4.415,0.97318
2016,India,Southern Asia,118,4.404,0.74036
2016,Myanmar,Southeastern Asia,119,4.395,0.34112
2016,Egypt,Middle East and Northern Africa,120,4.362,0.95395
2016,Armenia,Central and Eastern Europe,121,4.36,0.86086
2016,Kenya,Sub-Saharan Africa,122,4.356,0.52267
2016,Ukraine,Central and Eastern Europe,123,4.324,0.87287
2016,Ghana,Sub-Saharan Africa,124,4.276,0.63107
2016,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,0.05661
2016,Georgia,Central and Eastern Europe,126,4.252,0.83792
2016,Congo (Brazzaville),Sub-Saharan Africa,127,4.236,0.77109
2016,Senegal,Sub-Saharan Africa,128,4.219,0.44314
2016,Bulgaria,Central and Eastern Europe,129,4.217,1.11306
2016,Mauritania,Sub-Saharan Africa,130,4.201,0.61391
2016,Zimbabwe,Sub-Saharan Africa,131,4.193,0.35041
2016,Malawi,Sub-Saharan Africa,132,4.156,0.08709
2016,Sudan,Sub-Saharan Africa,133,4.139,0.63069
2016,Gabon,Sub-Saharan Africa,134,4.121,1.15851
2016,Mali,Sub-Saharan Africa,135,4.073,0.31292
2016,Haiti,Latin America and Caribbean,136,4.028,0.34097
2016,Botswana,Sub-Saharan Africa,137,3.974,1.09426
2016,Comoros,Sub-Saharan Africa,138,3.956,0.27509
2016,Ivory Coast,Sub-Saharan Africa,139,3.916,0.55507
2016,Cambodia,Southeastern Asia,140,3.907,0.55604
2016,Angola,Sub-Saharan Africa,141,3.866,0.84731
2016,Niger,Sub-Saharan Africa,142,3.856,0.1327
2016,South Sudan,Sub-Saharan Africa,143,3.832,0.39394
2016,Chad,Sub-Saharan Africa,144,3.763,0.42214
2016,Burkina Faso,Sub-Saharan Africa,145,3.739,0.31995
2016,Uganda,Sub-Saharan Africa,145,3.739,0.34719
2016,Yemen,Middle East and Northern Africa,147,3.724,0.57939
2016,Madagascar,Sub-Saharan Africa,148,3.695,0.27954
2016,Tanzania,Sub-Saharan Africa,149,3.666,0.47155
2016,Liberia,Sub-Saharan Africa,150,3.622,0.10706
2016,Guinea,Sub-Saharan Africa,151,3.607,0.22415
2016,Rwanda,Sub-Saharan Africa,152,3.515,0.32846
2016,Benin,Sub-Saharan Africa,153,3.484,0.39499
2016,Afghanistan,Southern Asia,154,3.36,0.38227
2016,Togo,Sub-Saharan Africa,155,3.303,0.28123
2016,Syria,Middle East and Northern Africa,156,3.069,0.74719
2016,Burundi,Sub-Saharan Africa,157,2.905,0.06831
2017,Norway,Western Europe,1,7.53700017929077,1.61646318435669
2017,Denmark,Western Europe,2,7.52199983596802,1.48238301277161
2017,Iceland,Western Europe,3,7.50400018692017,1.480633020401
2017,Switzerland,Western Europe,4,7.49399995803833,1.56497955322266
2017,Finland,Western Europe,5,7.4689998626709,1.44357192516327
2017,Netherlands,Western Europe,6,7.3769998550415,1.50394463539124
2017,Canada,North America,7,7.31599998474121,1.47920441627502
2017,New Zealand,Australia and New Zealand,8,7.31400012969971,1.40570604801178
2017,Sweden,Western Europe,9,7.28399991989136,1.49438726902008
2017,Australia,Australia and New Zealand,10,7.28399991989136,1.484414935112
2017,Israel,Middle East and Northern Africa,11,7.21299982070923,1.37538242340088
2017,Costa Rica,Latin America and Caribbean,12,7.0789999961853,1.10970628261566
2017,Austria,Western Europe,13,7.00600004196167,1.48709726333618
2017,United States,North America,14,6.99300003051758,1.54625928401947
2017,Ireland,Western Europe,15,6.97700023651123,1.53570663928986
2017,Germany,Western Europe,16,6.95100021362305,1.48792338371277
2017,Belgium,Western Europe,17,6.89099979400635,1.46378076076508
2017,Luxembourg,Western Europe,18,6.86299991607666,1.74194359779358
2017,United Kingdom,Western Europe,19,6.71400022506714,1.44163393974304
2017,Chile,Latin America and Caribbean,20,6.65199995040894,1.25278460979462
2017,United Arab Emirates,Middle East and Northern Africa,21,6.64799976348877,1.62634336948395
2017,Brazil,Latin America and Caribbean,22,6.63500022888184,1.10735321044922
2017,Czech Republic,Central and Eastern Europe,23,6.60900020599365,1.35268235206604
2017,Argentina,Latin America and Caribbean,24,6.59899997711182,1.18529546260834
2017,Mexico,Latin America and Caribbean,25,6.57800006866455,1.15318381786346
2017,Singapore,Southeastern Asia,26,6.57200002670288,1.69227766990662
2017,Malta,Western Europe,27,6.52699995040894,1.34327983856201
2017,Uruguay,Latin America and Caribbean,28,6.4539999961853,1.21755969524384
2017,Guatemala,Latin America and Caribbean,29,6.4539999961853,0.872001945972443
2017,Panama,Latin America and Caribbean,30,6.4520001411438,1.23374843597412
2017,France,Western Europe,31,6.44199991226196,1.43092346191406
2017,Thailand,Southeastern Asia,32,6.42399978637695,1.12786877155304
2017,Taiwan Province of China,,33,6.42199993133545,1.43362653255463
2017,Spain,Western Europe,34,6.40299987792969,1.38439786434174
2017,Qatar,Middle East and Northern Africa,35,6.375,1.87076568603516
2017,Colombia,Latin America and Caribbean,36,6.35699987411499,1.07062232494354
2017,Saudi Arabia,Middle East and Northern Africa,37,6.3439998626709,1.53062355518341
2017,Trinidad and Tobago,Latin America and Caribbean,38,6.16800022125244,1.36135590076447
2017,Kuwait,Middle East and Northern Africa,39,6.10500001907349,1.63295245170593
2017,Slovakia,Central and Eastern Europe,40,6.09800004959106,1.32539355754852
2017,Bahrain,Middle East and Northern Africa,41,6.08699989318848,1.48841226100922
2017,Malaysia,Southeastern Asia,42,6.08400011062622,1.29121541976929
2017,Nicaragua,Latin America and Caribbean,43,6.07100009918213,0.737299203872681
2017,Ecuador,Latin America and Caribbean,44,6.00799989700317,1.00082039833069
2017,El Salvador,Latin America and Caribbean,45,6.00299978256226,0.909784495830536
2017,Poland,Central and Eastern Europe,46,5.97300004959106,1.29178786277771
2017,Uzbekistan,Central and Eastern Europe,47,5.97100019454956,0.786441087722778
2017,Italy,Western Europe,48,5.96400022506714,1.39506661891937
2017,Russia,Central and Eastern Europe,49,5.96299982070923,1.28177809715271
2017,Belize,,50,5.95599985122681,0.907975316047668
2017,Japan,Eastern Asia,51,5.92000007629395,1.41691517829895
2017,Lithuania,Central and Eastern Europe,52,5.90199995040894,1.31458234786987
2017,Algeria,Middle East and Northern Africa,53,5.87200021743774,1.09186446666718
2017,Latvia,Central and Eastern Europe,54,5.84999990463257,1.26074862480164
2017,South Korea,Eastern Asia,55,5.83799982070923,1.40167844295502
2017,Moldova,Central and Eastern Europe,56,5.83799982070923,0.728870630264282
2017,Romania,Central and Eastern Europe,57,5.82499980926514,1.21768391132355
2017,Bolivia,Latin America and Caribbean,58,5.82299995422363,0.833756566047668
2017,Turkmenistan,Central and Eastern Europe,59,5.82200002670288,1.13077676296234
2017,Kazakhstan,Central and Eastern Europe,60,5.81899976730347,1.28455626964569
2017,North Cyprus,Western Europe,61,5.80999994277954,1.3469113111496
2017,Slovenia,Central and Eastern Europe,62,5.75799989700317,1.3412059545517
2017,Peru,Latin America and Caribbean,63,5.71500015258789,1.03522527217865
2017,Mauritius,Sub-Saharan Africa,64,5.62900018692017,1.18939554691315
2017,Cyprus,Western Europe,65,5.62099981307983,1.35593807697296
2017,Estonia,Central and Eastern Europe,66,5.61100006103516,1.32087934017181
2017,Belarus,Central and Eastern Europe,67,5.56899976730347,1.15655755996704
2017,Libya,Middle East and Northern Africa,68,5.52500009536743,1.10180306434631
2017,Turkey,Middle East and Northern Africa,69,5.5,1.19827437400818
